Destination Latitude,Destination Longitude,Origin Airport Name,City,Country,Origin Latitude,Origin Longitude,Business Passangers,Passangers,Destination Name,Destination Code,Departure Date Month,Destination Country Name,Origin,Route_Type
36.8439,-2.3701,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,30,Almeria,LEI,01-10-2019,Spain,LUX,LUX-LEI
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,48,Malaga,AGP,01-02-2020,Spain,LUX,LUX-AGP
16.1365,-22.8889,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Boa Vista,BVC,01-01-2020,Cap Vert,LUX,LUX-BVC
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Antalya,AYT,01-09-2019,Turquie,LUX,LUX-AYT
36.4054,28.0862,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,Rhodos,RHO,01-04-2020,Grece,LUX,LUX-RHO
41.1389,16.7606,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Bari,BRI,01-10-2019,Italie,LUX,LUX-BRI
36.4054,28.0862,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Rhodos,RHO,01-10-2020,Grece,LUX,LUX-RHO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
32.6979,-16.7745,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Madeira,FNC,01-04-2020,Portugal,LUX,LUX-FNC
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Faro,FAO,01-09-2019,Portugal,LUX,LUX-FAO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Palma Mallorca,PMI,01-09-2019,Spain,LUX,LUX-PMI
36.7446,-6.0601,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,57,Jerez,XRY,01-10-2019,Spain,LUX,LUX-XRY
36.7446,-6.0601,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Jerez,XRY,01-10-2019,Spain,LUX,LUX-XRY
41.1389,16.7606,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,56,Bari,BRI,01-10-2019,Italie,LUX,LUX-BRI
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,39,Hurghada,HRG,01-11-2019,Egypte,LUX,LUX-HRG
33.875,10.7755,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Djerba,DJE,01-09-2019,Tunisie,LUX,LUX-DJE
48.1103,16.5697,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,11,Vienna,VIE,01-09-2019,Autriche,LUX,LUX-VIE
45.5053,12.3519,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,48,Venice,VCE,01-10-2019,Italie,LUX,LUX-VCE
66.5648,25.8304,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,30,Rovaniemi,RVN,01-02-2020,Finlande,LUX,LUX-RVN
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Gran Canaria,LPA,01-10-2019,Spain,LUX,LUX-LPA
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Tenerife Sud,TFS,01-01-2020,Spain,LUX,LUX-TFS
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,51,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Antalya,AYT,01-10-2019,Turquie,LUX,LUX-AYT
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
null,null,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,42,Berlin,BER,01-12-2019,Allemagne,LUX,LUX-BER
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
25.5571,34.5837,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Marsa Alam,RMF,01-11-2019,Egypte,LUX,LUX-RMF
28.4527,-13.8638,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Fuerteventura,FUE,01-01-2020,Spain,LUX,LUX-FUE
35.3397,25.1803,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,60,Heraklion,HER,01-09-2019,Grece,LUX,LUX-HER
16.1365,-22.8889,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,10,Boa Vista,BVC,01-12-2019,Cap Vert,LUX,LUX-BVC
33.875,10.7755,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,51,Djerba,DJE,01-09-2019,Tunisie,LUX,LUX-DJE
39.8626,4.2186,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Minorca,MAH,01-10-2019,Spain,LUX,LUX-MAH
32.6979,-16.7745,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Madeira,FNC,01-09-2019,Portugal,LUX,LUX-FNC
41.2481,-8.6814,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Porto,OPO,01-11-2019,Portugal,LUX,LUX-OPO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
